"Steel Dagger",1,Basic
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Tiny HP Potion”,2hp,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,2,Common
“Shaddow Talisman”,1,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,2,Common
“Steel Sword”,1,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,2,Common
“Power Ring”,1,Common
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Small HP Potion”,4hp,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,4,Uncommon
“Shaddow Talisman”,2,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,4,Uncommon
“Great Power Ring”,2,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,4,Uncommon
“Silver Dagger”,2,Uncommon
“Great HP Potion”,6hp,Rare
“Great HP Potion”,6hp,Rare
“Great HP Potion”,6hp,Rare
“Great HP Potion”,6hp,Rare
“Great HP Potion”,6hp,Rare
“Ring Of Hope”,6,Rare
“Ring Of Hope”,6,Rare
“Ring Of Hope”,6,Rare
“Ring Of Hope”,6,Rare
“Ring Of Hope”,3,Rare
“Strength Talisman”,6,Rare
“Strength Talisman”,6,Rare
“Strength Talisman”,6,Rare
“Strength Talisman”,6,Rare
“Strength Talisman”,3,Rare
“Silver Sword”,6,Rare
“Silver Sword”,6,Rare
“Silver Sword”,6,Rare
“Silver Sword”,6,Rare
“Silver Sword”,3,Rare
“Great HP Potion”,8hp,Epic
“Great HP Potion”,8hp,Epic
“Great HP Potion”,8hp,Epic
“Ring Of Hope”,8,Epic
“Ring Of Hope”,8,Epic
“Ring Of Hope”,4,Epic
“Great Strength Talisman”,8,Epic
“Great Strength Talisman”,8,Epic
“Great Strength Talisman”,4,Epic
“Gold Dagger”,8,Epic
“Gold Dagger”,8,Epic
“Gold Dagger”,4,Epic
“Amazing HP Potion”,12hp,Legendary
“Blade Of The Fallen King”,12,Legendary
“Great Mage’s Talisman”,12,Legendary  
“Ring Of Gods”,12,Legendary
"Paulines Cykel", 100, Godlike


